iter	Passed	Remaining
1277	741	2158
1278	741	2158
1279	742	2157
1280	742	2156
1281	743	2155
1282	743	2154
1283	744	2153
1284	744	2152
1285	745	2151
1286	745	2151
1287	746	2150
1288	746	2149
1289	747	2148
1290	747	2147
1291	747	2145
1292	747	2144
1293	748	2143
1294	748	2142
1295	749	2141
1296	749	2140
1297	750	2139
1298	750	2138
1299	751	2137
1300	751	2137
1301	752	2136
1302	752	2135
1303	753	2134
1304	753	2133
1305	753	2132
1306	754	2131
1307	754	2130
1308	755	2129
1309	755	2128
1310	756	2127
1311	756	2126
1312	757	2126
1313	757	2125
1314	757	2124
1315	758	2123
1316	758	2122
1317	759	2121
1318	759	2120
1319	760	2119
1320	760	2118
1321	761	2118
1322	761	2117
1323	762	2116
1324	762	2115
1325	763	2114
1326	763	2113
1327	764	2112
1328	764	2111
1329	764	2110
1330	765	2109
1331	765	2108
1332	765	2106
1333	766	2106
1334	766	2104
1335	767	2103
1336	767	2102
1337	767	2101
1338	768	2100
1339	768	2100
1340	769	2098
1341	769	2097
1342	770	2097
1343	770	2096
1344	771	2095
1345	771	2094
1346	772	2093
1347	772	2092
1348	772	2091
1349	773	2091
1350	773	2089
1351	774	2088
1352	774	2087
1353	774	2086
1354	774	2084
1355	775	2083
1356	775	2082
1357	776	2081
1358	776	2080
1359	777	2079
1360	777	2079
1361	778	2078
1362	778	2077
1363	778	2075
1364	779	2075
1365	779	2074
1366	780	2073
1367	780	2072
1368	781	2071
1369	781	2071
1370	782	2070
1371	782	2069
1372	782	2068
1373	783	2067
1374	783	2066
1375	784	2065
1376	784	2065
1377	785	2064
1378	785	2063
1379	786	2062
1380	786	2061
1381	787	2060
1382	787	2060
1383	788	2059
1384	788	2058
1385	789	2057
1386	789	2057
1387	790	2056
1388	790	2055
1389	791	2054
1390	791	2054
1391	792	2053
1392	792	2052
1393	793	2052
1394	793	2051
1395	794	2050
1396	794	2049
1397	795	2048
1398	795	2048
1399	796	2047
1400	796	2046
1401	796	2045
1402	797	2044
1403	797	2043
1404	798	2042
1405	798	2041
1406	799	2040
1407	799	2039
1408	800	2039
1409	800	2038
1410	800	2037
1411	801	2036
1412	802	2035
1413	802	2035
1414	802	2034
1415	803	2033
1416	803	2032
1417	804	2031
1418	804	2031
1419	805	2030
1420	805	2029
1421	806	2028
1422	806	2027
1423	807	2026
1424	807	2026
1425	807	2024
1426	808	2023
1427	808	2023
1428	809	2022
1429	809	2020
1430	809	2019
1431	810	2018
1432	810	2017
1433	810	2016
1434	811	2015
1435	811	2014
1436	812	2014
1437	813	2014
1438	813	2013
1439	813	2012
1440	814	2011
1441	814	2010
1442	815	2009
1443	815	2009
1444	816	2008
1445	816	2007
1446	817	2006
1447	817	2005
1448	818	2005
1449	818	2004
1450	819	2003
1451	819	2002
1452	820	2001
1453	820	2001
1454	820	2000
1455	821	1999
1456	821	1998
1457	822	1997
1458	822	1997
1459	823	1996
1460	823	1995
1461	824	1994
1462	824	1993
1463	824	1992
1464	825	1991
1465	825	1990
1466	826	1989
1467	826	1989
1468	827	1988
1469	827	1987
1470	828	1986
1471	828	1985
1472	828	1984
1473	829	1983
1474	829	1982
1475	830	1982
1476	830	1981
1477	831	1980
1478	831	1979
1479	831	1978
1480	832	1977
1481	832	1976
1482	833	1976
1483	833	1975
1484	834	1974
1485	834	1973
1486	835	1972
1487	835	1971
1488	835	1971
1489	836	1970
1490	836	1969
1491	837	1968
1492	837	1967
1493	838	1967
1494	838	1966
1495	839	1966
1496	839	1965
1497	840	1965
1498	841	1964
1499	841	1963
1500	842	1963
1501	842	1962
1502	843	1961
1503	843	1961
1504	844	1960
1505	844	1959
1506	845	1958
1507	845	1957
1508	845	1956
1509	846	1955
1510	846	1954
1511	846	1953
1512	847	1952
1513	847	1951
1514	848	1951
1515	848	1950
1516	849	1949
1517	849	1949
1518	850	1948
1519	850	1947
1520	851	1947
1521	851	1946
1522	852	1945
1523	852	1944
1524	853	1944
1525	853	1943
1526	854	1942
1527	854	1942
1528	855	1941
1529	855	1940
1530	856	1940
1531	856	1939
1532	857	1938
1533	857	1938
1534	858	1937
1535	858	1936
1536	859	1935
1537	859	1935
1538	860	1934
1539	860	1933
1540	860	1932
1541	861	1931
1542	861	1931
1543	862	1930
1544	862	1929
1545	863	1928
1546	863	1927
1547	864	1927
1548	864	1926
1549	865	1925
1550	865	1925
1551	865	1923
1552	866	1922
1553	866	1922
1554	867	1921
1555	867	1920
1556	867	1919
1557	868	1918
1558	868	1917
1559	869	1916
1560	869	1916
1561	870	1915
1562	870	1914
1563	870	1913
1564	871	1912
1565	871	1911
1566	872	1911
1567	872	1910
1568	873	1909
1569	873	1909
1570	874	1908
1571	874	1907
1572	875	1906
1573	875	1906
1574	876	1905
1575	876	1904
1576	877	1903
1577	877	1903
1578	878	1902
1579	878	1901
1580	879	1900
1581	879	1900
1582	879	1899
1583	880	1898
1584	880	1898
1585	881	1897
1586	881	1896
1587	882	1895
1588	882	1894
1589	883	1894
1590	883	1893
1591	884	1892
1592	884	1891
1593	885	1891
1594	885	1890
1595	885	1889
1596	886	1888
1597	886	1888
1598	887	1887
1599	887	1886
1600	888	1886
1601	888	1885
1602	889	1884
1603	889	1884
1604	890	1883
1605	891	1883
1606	891	1882
1607	892	1882
1608	892	1881
1609	893	1881
1610	894	1880
1611	895	1881
1612	895	1880
1613	896	1880
1614	896	1879
1615	897	1879
1616	897	1878
1617	898	1878
1618	899	1877
1619	899	1876
1620	900	1876
1621	900	1875
1622	902	1877
1623	902	1876
1624	903	1876
1625	904	1875
1626	904	1875
1627	906	1877
1628	906	1876
1629	907	1876
1630	908	1875
1631	908	1875
1632	909	1874
1633	909	1873
1634	909	1872
1635	910	1871
1636	910	1871
1637	911	1870
1638	911	1869
1639	912	1869
1640	912	1868
1641	913	1867
1642	913	1866
1643	914	1866
1644	914	1865
1645	915	1864
1646	915	1864
1647	916	1863
1648	916	1863
1649	917	1862
1650	917	1861
1651	918	1861
1652	918	1860
1653	919	1859
1654	919	1858
1655	920	1857
1656	920	1856
1657	920	1856
1658	921	1855
1659	921	1854
1660	922	1854
1661	925	1859
1662	926	1859
1663	926	1857
1664	927	1858
1665	928	1857
1666	928	1857
1667	929	1856
1668	929	1856
1669	931	1856
1670	931	1856
1671	932	1855
1672	932	1855
1673	933	1854
1674	933	1853
1675	934	1852
1676	934	1852
1677	935	1851
1678	935	1850
1679	936	1850
1680	936	1849
1681	937	1848
1682	937	1848
1683	938	1847
1684	938	1846
1685	939	1845
1686	939	1844
1687	939	1844
1688	940	1843
1689	941	1843
1690	941	1842
1691	941	1841
1692	942	1840
1693	942	1839
1694	943	1839
1695	943	1838
1696	944	1837
1697	944	1837
1698	945	1836
1699	945	1835
1700	945	1834
1701	946	1833
1702	946	1832
1703	947	1832
1704	947	1831
1705	948	1830
1706	948	1829
1707	949	1829
1708	949	1828
1709	950	1828
1710	950	1827
1711	951	1826
1712	951	1826
1713	952	1825
1714	952	1824
1715	953	1823
1716	953	1823
1717	954	1822
1718	954	1821
1719	954	1821
1720	955	1819
1721	955	1819
1722	956	1818
1723	956	1817
1724	956	1816
1725	957	1815
1726	957	1814
1727	958	1814
1728	958	1813
1729	959	1812
1730	959	1812
1731	960	1811
1732	960	1810
1733	961	1810
1734	961	1809
1735	961	1808
1736	962	1807
1737	962	1807
1738	963	1806
1739	963	1805
1740	964	1804
1741	964	1803
1742	964	1803
1743	965	1802
1744	966	1802
1745	966	1801
1746	967	1800
1747	967	1800
1748	968	1799
1749	968	1798
1750	969	1798
1751	969	1797
1752	970	1796
1753	970	1796
1754	971	1795
1755	971	1794
1756	972	1794
1757	972	1793
1758	973	1792
1759	973	1792
1760	974	1791
1761	974	1790
1762	974	1790
1763	975	1789
1764	975	1788
1765	976	1788
1766	976	1787
1767	977	1786
1768	977	1785
1769	978	1785
1770	978	1784
1771	979	1783
1772	979	1783
1773	980	1782
1774	980	1781
1775	981	1781
1776	981	1780
1777	982	1779
1778	982	1778
1779	982	1778
1780	983	1777
1781	983	1776
1782	984	1776
1783	985	1776
1784	985	1775
1785	986	1774
1786	986	1774
1787	987	1773
1788	987	1773
1789	988	1772
1790	989	1772
1791	989	1771
1792	990	1771
1793	991	1771
1794	991	1770
1795	992	1770
1796	992	1769
1797	993	1769
1798	994	1769
1799	994	1768
1800	995	1767
1801	995	1767
1802	996	1766
1803	996	1766
1804	997	1765
1805	997	1764
1806	998	1764
1807	998	1763
1808	999	1763
1809	999	1762
1810	1000	1761
1811	1000	1760
1812	1001	1759
1813	1001	1759
1814	1002	1758
1815	1002	1757
1816	1002	1756
1817	1003	1756
1818	1003	1755
1819	1004	1754
1820	1004	1754
1821	1005	1753
1822	1005	1752
1823	1006	1752
1824	1006	1751
1825	1007	1750
1826	1007	1749
1827	1008	1749
1828	1008	1748
1829	1008	1747
1830	1009	1747
1831	1009	1746
1832	1010	1745
1833	1010	1744
1834	1011	1744
1835	1011	1743
1836	1012	1743
1837	1012	1742
1838	1013	1741
1839	1013	1741
1840	1014	1740
1841	1014	1739
1842	1015	1739
1843	1015	1738
1844	1016	1737
1845	1016	1737
1846	1017	1736
1847	1017	1735
1848	1018	1735
1849	1018	1734
1850	1019	1733
1851	1019	1733
1852	1020	1732
1853	1020	1731
1854	1020	1730
1855	1021	1730
1856	1021	1729
1857	1022	1728
1858	1022	1728
